id,Restaurant Name,Category,Price Tier,Neighborhood,Opening Hours,Average Rating (out of 5 stars),Good for kids
1,lhammarberg0,Indian,Cheap,Upper West Side,9:00 - 20:00,1,False
2,bairds1,Pizza,Expensive,Rego Park,9:00 - 20:00,5,False
3,qjeanequin2,French,Medium,Upper East Side,9:00 - 20:00,3,False
4,agullifant3,Indian,Medium,Bushwick,9:00 - 20:00,2,True
5,emaccartan4,Japanese,Expensive,Sunnyside,9:00 - 20:00,5,False
6,ccritcher5,Chinese,Expensive,New Brighton,9:00 - 20:00,4,False
7,bendean6,American,Cheap,Belmont,9:00 - 20:00,1,False
8,glauks7,Italian,Expensive,Upper West Side,9:00 - 20:00,5,False
9,lcurnnok8,Mexican,Expensive,Belmont,9:00 - 20:00,5,True
10,kvossing9,Japanese,Medium,Westerleigh,9:00 - 20:00,5,True
11,efryatta,Pizza,Medium,New Brighton,9:00 - 20:00,4,False
12,gcogmanb,Japanese,Medium,Rosebank,9:00 - 20:00,3,False
13,jhamilc,Italian,Cheap,Bedford-Stuyvesant,9:00 - 20:00,4,False
14,tdumbreckd,Burger,Expensive,Woodside,9:00 - 20:00,1,False
15,dquilleashe,Fast Food,Cheap,Soundview,9:00 - 20:00,4,False
16,bneevesf,Korean,Cheap,Stapleton,9:00 - 20:00,3,False
17,chuggonsg,Fast Food,Expensive,Rosebank,9:00 - 20:00,5,True
18,elindlh,American,Medium,New Brighton,9:00 - 20:00,4,False
19,pmaginni,American,Medium,Flushing,9:00 - 20:00,5,True
20,lwainmanj,Italian,Medium,Forest Hills,9:00 - 20:00,4,False
21,chorningk,Burger,Expensive,Prospect Heights,9:00 - 20:00,3,True
22,adidellol,Mexican,Cheap,Riverdale,9:00 - 20:00,4,False
23,lwhitfieldm,Burger,Cheap,Greenpoint,9:00 - 20:00,2,False
24,msigsworthn,Chinese,Medium,Red Hook,9:00 - 20:00,2,False
25,wbotgero,Thai,Cheap,Upper West Side,9:00 - 20:00,4,False
26,amccollump,Japanese,Expensive,Tompkinsville,9:00 - 20:00,5,False
27,frymellq,American,Expensive,Crown Heights,9:00 - 20:00,3,False
28,kpionterr,Burger,Medium,Park Slope,9:00 - 20:00,1,False
29,vfyness,Pizza,Medium,Forest Hills,9:00 - 20:00,3,False
30,kgribbont,American,Medium,Tottenville,9:00 - 20:00,5,True
31,rattestoneu,American,Cheap,Park Slope,9:00 - 20:00,5,False
32,mseelbachv,American,Medium,Jackson Heights,9:00 - 20:00,4,True
33,acouchmanw,Burger,Medium,Stapleton,9:00 - 20:00,5,True
34,hhaningtonx,Italian,Expensive,Mott Haven,9:00 - 20:00,1,True
35,rblazey,American,Cheap,Soundview,9:00 - 20:00,1,False
36,rfulbrookz,Italian,Expensive,Park Slope,9:00 - 20:00,3,False
37,njanaud10,Mexican,Expensive,Bedford-Stuyvesant,9:00 - 20:00,1,True
38,mpapierz11,French,Expensive,Greenpoint,9:00 - 20:00,1,False
39,jmonelli12,Korean,Expensive,Prospect Heights,9:00 - 20:00,1,False
40,gcharlton13,Chinese,Cheap,Prospect Heights,9:00 - 20:00,5,True
41,hsheeres14,Thai,Cheap,Park Slope,9:00 - 20:00,4,False
42,nwickendon15,Korean,Medium,Mott Haven,9:00 - 20:00,5,False
43,tdillintone16,American,Medium,Midtown,9:00 - 20:00,4,False
44,lhintze17,Thai,Expensive,Forest Hills,9:00 - 20:00,2,False
45,roakenford18,Indian,Medium,Long Island City,9:00 - 20:00,3,False
46,kpittam19,French,Medium,Upper West Side,9:00 - 20:00,2,True
47,abickerstaff1a,Burger,Expensive,Jackson Heights,9:00 - 20:00,1,False
48,fboden1b,Japanese,Expensive,Stapleton,9:00 - 20:00,1,False
49,lkaveney1c,American,Expensive,Kingsbridge,9:00 - 20:00,1,False
50,owickmann1d,Korean,Expensive,Jamaica,9:00 - 20:00,2,True
51,sgrigoletti1e,Korean,Expensive,Park Slope,9:00 - 20:00,5,False
52,nwelham1f,Indian,Medium,Bushwick,9:00 - 20:00,2,False
53,bachromov1g,Chinese,Cheap,Annadale,9:00 - 20:00,4,False
54,mslayny1h,Pizza,Medium,Soundview,9:00 - 20:00,1,True
55,gagus1i,Pizza,Expensive,Morris Park,9:00 - 20:00,3,False
56,hplose1j,French,Expensive,Red Hook,9:00 - 20:00,1,True
57,wlucus1k,Thai,Cheap,Red Hook,9:00 - 20:00,2,False
58,edreamer1l,French,Cheap,Hunts Point,9:00 - 20:00,4,True
59,jcust1m,Thai,Cheap,Sunnyside,9:00 - 20:00,3,True
60,tregus1n,Chinese,Cheap,Midtown,9:00 - 20:00,5,True
61,xlongea1o,Thai,Medium,Sunnyside,9:00 - 20:00,2,True
62,lgiral1p,Korean,Medium,Greenwich Village,9:00 - 20:00,3,False
63,vpalliser1q,Korean,Medium,DUMBO,9:00 - 20:00,2,False
64,mlangmuir1r,Korean,Expensive,Harlem,9:00 - 20:00,5,False
65,cdelaharpe1s,American,Cheap,Annadale,9:00 - 20:00,4,True
66,jspary1t,Japanese,Expensive,Bayside,9:00 - 20:00,4,True
67,gingall1u,Korean,Medium,Pelham Bay,9:00 - 20:00,2,True
68,sdroghan1v,Fast Food,Expensive,Bayside,9:00 - 20:00,4,False
69,hvaneev1w,French,Medium,Greenpoint,9:00 - 20:00,1,False
70,bmunks1x,Chinese,Medium,Park Slope,9:00 - 20:00,3,True
71,ftewkesberrie1y,Thai,Cheap,Midtown,9:00 - 20:00,4,True
72,gnudds1z,American,Medium,Forest Hills,9:00 - 20:00,2,True
73,astork20,French,Cheap,Astoria,9:00 - 20:00,2,True
74,jnobes21,Korean,Expensive,Throgs Neck,9:00 - 20:00,4,True
75,dmaclaren22,Thai,Cheap,Soundview,9:00 - 20:00,1,True
76,wsaberton23,Thai,Expensive,Midtown,9:00 - 20:00,2,True
77,mblackburne24,Mexican,Expensive,Midtown,9:00 - 20:00,5,True
78,hlawrenceson25,Burger,Cheap,Fordham,9:00 - 20:00,3,True
79,ielen26,Japanese,Expensive,Stapleton,9:00 - 20:00,2,False
80,cmennithorp27,Fast Food,Cheap,Greenwich Village,9:00 - 20:00,2,False
81,sludy28,Korean,Cheap,DUMBO,9:00 - 20:00,3,True
82,mchatelot29,Fast Food,Expensive,Prospect Heights,9:00 - 20:00,4,True
83,dandroletti2a,American,Expensive,Lower East Side,9:00 - 20:00,1,True
84,drappoport2b,Fast Food,Expensive,Kingsbridge,9:00 - 20:00,2,True
85,avenney2c,Fast Food,Cheap,Riverdale,9:00 - 20:00,4,False
86,bbethune2d,Italian,Cheap,Tompkinsville,9:00 - 20:00,5,True
87,rkisbey2e,Korean,Expensive,Tribeca,9:00 - 20:00,1,False
88,wemsley2f,Fast Food,Expensive,New Brighton,9:00 - 20:00,4,False
89,hswenson2g,Japanese,Cheap,Red Hook,9:00 - 20:00,2,True
90,abratchell2h,Thai,Cheap,Bayside,9:00 - 20:00,3,True
91,cbrogi2i,Indian,Expensive,Pelham Bay,9:00 - 20:00,5,True
92,jmishow2j,Fast Food,Medium,Annadale,9:00 - 20:00,5,True
93,sblincoe2k,Indian,Medium,Tottenville,9:00 - 20:00,2,True
94,cmarushak2l,Thai,Expensive,Jamaica,9:00 - 20:00,2,True
95,tdowse2m,Fast Food,Medium,Chelsea,9:00 - 20:00,5,False
96,aboole2n,Fast Food,Medium,Morris Park,9:00 - 20:00,2,True
97,lcanas2o,Thai,Medium,Bushwick,9:00 - 20:00,3,False
98,rratt2p,Japanese,Expensive,Harlem,9:00 - 20:00,2,False
99,ovesque2q,French,Expensive,Belmont,9:00 - 20:00,5,True
100,aledward2r,American,Cheap,DUMBO,9:00 - 20:00,1,False
101,sfarleigh2s,Fast Food,Medium,Great Kills,9:00 - 20:00,2,True
102,kwiddup2t,Japanese,Cheap,Fordham,9:00 - 20:00,1,False
103,tsaker2u,Mexican,Medium,Lower East Side,9:00 - 20:00,3,True
104,bearnshaw2v,Fast Food,Cheap,Grasmere,9:00 - 20:00,2,False
105,jsalmen2w,Mexican,Medium,Rosebank,9:00 - 20:00,5,True
106,gmccraine2x,Burger,Expensive,Annadale,9:00 - 20:00,2,False
107,jnelsen2y,French,Cheap,Jamaica,9:00 - 20:00,4,False
108,xhenzer2z,Japanese,Cheap,Kingsbridge,9:00 - 20:00,4,False
109,acerro30,Italian,Medium,Pelham Bay,9:00 - 20:00,5,True
110,kmoorman31,Thai,Medium,SoHo,9:00 - 20:00,3,False
111,rpurvess32,Pizza,Cheap,Flushing,9:00 - 20:00,5,True
112,dclampe33,Mexican,Cheap,Tottenville,9:00 - 20:00,2,True
113,cosanne34,Thai,Medium,Red Hook,9:00 - 20:00,5,True
114,cchallenor35,Mexican,Cheap,Bushwick,9:00 - 20:00,2,True
115,chazart36,Fast Food,Expensive,Bushwick,9:00 - 20:00,1,True
116,fpetrello37,Korean,Expensive,Long Island City,9:00 - 20:00,3,True
117,mdore38,French,Cheap,Park Slope,9:00 - 20:00,3,False
118,dseif39,French,Cheap,Stapleton,9:00 - 20:00,4,False
119,nmunt3a,Chinese,Cheap,Chelsea,9:00 - 20:00,5,False
120,rcrowthe3b,Thai,Medium,Pelham Bay,9:00 - 20:00,2,False
121,kleall3c,Pizza,Medium,Bushwick,9:00 - 20:00,4,True
122,fsadd3d,Pizza,Cheap,Fordham,9:00 - 20:00,1,False
123,jmccard3e,Indian,Cheap,Mott Haven,9:00 - 20:00,3,False
124,flemoir3f,Indian,Expensive,Kingsbridge,9:00 - 20:00,5,True
125,dmacpaike3g,Thai,Medium,Upper West Side,9:00 - 20:00,3,False
126,mlepage3h,Japanese,Medium,Forest Hills,9:00 - 20:00,3,False
127,mdomotor3i,Mexican,Cheap,Crown Heights,9:00 - 20:00,4,False
128,afarryann3j,Burger,Cheap,Great Kills,9:00 - 20:00,2,True
129,cchattey3k,Fast Food,Medium,Hunts Point,9:00 - 20:00,4,False
130,fenochsson3l,Chinese,Cheap,Grasmere,9:00 - 20:00,5,True
131,vawton3m,Thai,Medium,Mott Haven,9:00 - 20:00,5,True
132,gmayberry3n,Japanese,Expensive,New Brighton,9:00 - 20:00,5,True
133,cbenne3o,Chinese,Medium,Grasmere,9:00 - 20:00,2,True
134,bquadrio3p,Chinese,Medium,Rego Park,9:00 - 20:00,3,False
135,roughton3q,Japanese,Expensive,Throgs Neck,9:00 - 20:00,4,False
136,astockney3r,Italian,Cheap,Long Island City,9:00 - 20:00,4,True
137,bkemshell3s,Fast Food,Expensive,Riverdale,9:00 - 20:00,2,False
138,bsarchwell3t,Indian,Medium,Woodside,9:00 - 20:00,4,True
139,ohaker3u,Italian,Medium,Brooklyn Heights,9:00 - 20:00,2,True
140,egawen3v,Korean,Cheap,Washington Heights,9:00 - 20:00,3,False
141,ldurham3w,Indian,Expensive,Hunts Point,9:00 - 20:00,1,False
142,mlambotin3x,Fast Food,Cheap,Greenpoint,9:00 - 20:00,1,False
143,ofulloway3y,Chinese,Medium,Pelham Bay,9:00 - 20:00,3,True
144,aelderidge3z,French,Medium,Jamaica,9:00 - 20:00,5,False
145,mgibling40,Korean,Medium,Lower East Side,9:00 - 20:00,2,False
146,dgammie41,French,Medium,DUMBO,9:00 - 20:00,3,True
147,ckeuntje42,Chinese,Expensive,Soundview,9:00 - 20:00,5,True
148,acushion43,Italian,Cheap,Soundview,9:00 - 20:00,3,True
149,kgeldard44,Thai,Expensive,Brooklyn Heights,9:00 - 20:00,5,False
150,fpostgate45,American,Medium,Midtown,9:00 - 20:00,2,False
151,ebelliss46,Burger,Medium,Long Island City,9:00 - 20:00,4,True
152,cbeggin47,Italian,Expensive,Mott Haven,9:00 - 20:00,4,False
153,mcharlot48,Italian,Medium,Soundview,9:00 - 20:00,3,False
154,tfreen49,Korean,Expensive,Crown Heights,9:00 - 20:00,4,False
155,mcotton4a,Pizza,Medium,Rego Park,9:00 - 20:00,3,False
156,edalli4b,Thai,Cheap,Lower East Side,9:00 - 20:00,2,False
157,jsibbert4c,Indian,Expensive,Fordham,9:00 - 20:00,4,False
158,aredpath4d,Burger,Cheap,Park Slope,9:00 - 20:00,3,False
159,ccoplestone4e,Thai,Expensive,Greenwich Village,9:00 - 20:00,4,False
160,nspurritt4f,French,Medium,Bushwick,9:00 - 20:00,4,True
161,tglacken4g,Burger,Cheap,Riverdale,9:00 - 20:00,1,True
162,sfulham4h,American,Cheap,Kingsbridge,9:00 - 20:00,3,False
163,bstenners4i,Pizza,Medium,Belmont,9:00 - 20:00,5,True
164,dhalksworth4j,Korean,Medium,Upper East Side,9:00 - 20:00,5,False
165,afilgate4k,Indian,Expensive,Washington Heights,9:00 - 20:00,3,True
166,lmcguiney4l,French,Cheap,Rego Park,9:00 - 20:00,3,True
167,dtillman4m,Fast Food,Expensive,Bushwick,9:00 - 20:00,5,False
168,msapshed4n,Fast Food,Medium,Midtown,9:00 - 20:00,3,False
169,rcollingworth4o,Indian,Expensive,Tompkinsville,9:00 - 20:00,1,False
170,borviss4p,French,Expensive,Flushing,9:00 - 20:00,5,False
171,adowson4q,French,Cheap,Long Island City,9:00 - 20:00,2,False
172,cpetticrow4r,American,Cheap,Washington Heights,9:00 - 20:00,1,False
173,estaite4s,Fast Food,Cheap,Washington Heights,9:00 - 20:00,1,False
174,wcarillo4t,American,Cheap,DUMBO,9:00 - 20:00,3,False
175,cterlinden4u,Thai,Medium,Greenpoint,9:00 - 20:00,5,False
176,atrounson4v,Thai,Cheap,Tottenville,9:00 - 20:00,1,True
177,agroves4w,Burger,Cheap,Astoria,9:00 - 20:00,4,True
178,relliss4x,Italian,Cheap,Tompkinsville,9:00 - 20:00,1,True
179,reggar4y,American,Cheap,Kingsbridge,9:00 - 20:00,4,True
180,xskin4z,Indian,Medium,Throgs Neck,9:00 - 20:00,5,True
181,abrede50,Mexican,Medium,Tribeca,9:00 - 20:00,5,True
182,bbraunfeld51,Chinese,Cheap,Flushing,9:00 - 20:00,1,False
183,mbrew52,Burger,Expensive,Bayside,9:00 - 20:00,3,True
184,ahuddart53,Indian,Cheap,Upper East Side,9:00 - 20:00,4,False
185,jguiduzzi54,Mexican,Cheap,Brooklyn Heights,9:00 - 20:00,4,False
186,hleadbeater55,Korean,Medium,Mott Haven,9:00 - 20:00,4,True
187,lfathers56,Mexican,Medium,Rosebank,9:00 - 20:00,4,False
188,pnewick57,Thai,Expensive,Jackson Heights,9:00 - 20:00,2,True
189,dbeglin58,Italian,Cheap,Pelham Bay,9:00 - 20:00,2,False
190,ecollecott59,Italian,Cheap,Grasmere,9:00 - 20:00,2,False
191,acoop5a,Burger,Expensive,Rego Park,9:00 - 20:00,2,False
192,aclair5b,Chinese,Medium,Hunts Point,9:00 - 20:00,1,True
193,hgouch5c,Indian,Medium,Woodside,9:00 - 20:00,1,True
194,tpauletti5d,Indian,Medium,Mott Haven,9:00 - 20:00,1,False
195,kfishley5e,Mexican,Medium,Kingsbridge,9:00 - 20:00,3,True
196,pfitzjohn5f,American,Expensive,Jamaica,9:00 - 20:00,3,False
197,cupton5g,Fast Food,Medium,Hunts Point,9:00 - 20:00,1,False
198,cmouland5h,Burger,Medium,Brooklyn Heights,9:00 - 20:00,3,True
199,otosspell5i,Italian,Expensive,Upper East Side,9:00 - 20:00,1,False
200,nmacmoyer5j,Chinese,Medium,Park Slope,9:00 - 20:00,2,False
201,pmaple5k,Japanese,Cheap,Forest Hills,9:00 - 20:00,5,False
202,tbarrand5l,French,Cheap,Washington Heights,9:00 - 20:00,2,False
203,aastell5m,American,Medium,Belmont,9:00 - 20:00,3,True
204,vpedro5n,Thai,Cheap,Bayside,9:00 - 20:00,5,False
205,isydes5o,Mexican,Expensive,Midtown,9:00 - 20:00,2,True
206,htolworthie5p,Fast Food,Cheap,Rosebank,9:00 - 20:00,2,True
207,awoodings5q,Japanese,Cheap,Woodside,9:00 - 20:00,3,True
208,dsavidge5r,Pizza,Medium,Bedford-Stuyvesant,9:00 - 20:00,4,False
209,bwhittock5s,Thai,Expensive,Harlem,9:00 - 20:00,1,True
210,gkennford5t,Korean,Medium,Upper West Side,9:00 - 20:00,5,False
211,ddebrett5u,Italian,Cheap,Midtown,9:00 - 20:00,5,False
212,nmelluish5v,Indian,Expensive,Bushwick,9:00 - 20:00,2,False
213,mbirdsall5w,American,Cheap,Grasmere,9:00 - 20:00,1,False
214,apasek5x,Fast Food,Medium,Crown Heights,9:00 - 20:00,2,True
215,msach5y,American,Cheap,Stapleton,9:00 - 20:00,5,False
216,skeat5z,Chinese,Medium,Pelham Bay,9:00 - 20:00,1,False
217,jwelch60,American,Cheap,Lower East Side,9:00 - 20:00,2,False
218,rovery61,Italian,Cheap,Red Hook,9:00 - 20:00,1,True
219,eortner62,Chinese,Cheap,Morris Park,9:00 - 20:00,2,True
220,mmunson63,Thai,Medium,Rosebank,9:00 - 20:00,4,True
221,jballsdon64,Pizza,Cheap,Long Island City,9:00 - 20:00,3,True
222,bglowach65,Pizza,Medium,Tompkinsville,9:00 - 20:00,5,True
223,croscrigg66,Mexican,Cheap,Upper West Side,9:00 - 20:00,2,True
224,eladds67,Indian,Cheap,Pelham Bay,9:00 - 20:00,4,False
225,frait68,Burger,Medium,Westerleigh,9:00 - 20:00,5,True
226,rfurman69,Japanese,Expensive,Greenwich Village,9:00 - 20:00,3,True
227,aokey6a,Italian,Cheap,Red Hook,9:00 - 20:00,3,False
228,urandales6b,Korean,Medium,Hunts Point,9:00 - 20:00,2,True
229,lmoss6c,Italian,Expensive,Long Island City,9:00 - 20:00,2,True
230,psowood6d,Italian,Expensive,Bushwick,9:00 - 20:00,5,False
231,hemmanuele6e,American,Medium,Riverdale,9:00 - 20:00,1,False
232,kmackeague6f,Pizza,Expensive,Flushing,9:00 - 20:00,2,False
233,lovenell6g,Korean,Medium,Great Kills,9:00 - 20:00,1,True
234,tpiggen6h,Thai,Expensive,Park Slope,9:00 - 20:00,4,True
235,tlink6i,Fast Food,Expensive,Mott Haven,9:00 - 20:00,1,True
236,ecawse6j,Thai,Medium,Bayside,9:00 - 20:00,3,False
237,rechlin6k,Italian,Expensive,Jackson Heights,9:00 - 20:00,4,True
238,dmaides6l,Chinese,Cheap,SoHo,9:00 - 20:00,4,False
239,bdracksford6m,Japanese,Expensive,Soundview,9:00 - 20:00,3,False
240,khutchason6n,Indian,Cheap,Red Hook,9:00 - 20:00,2,True
241,apennick6o,American,Expensive,Washington Heights,9:00 - 20:00,1,False
242,dclayworth6p,Italian,Medium,Riverdale,9:00 - 20:00,2,False
243,psentinella6q,Korean,Expensive,Morris Park,9:00 - 20:00,1,False
244,esherlaw6r,French,Cheap,Prospect Heights,9:00 - 20:00,2,True
245,pdjokic6s,Burger,Medium,Harlem,9:00 - 20:00,1,False
246,lloudyan6t,American,Cheap,Brooklyn Heights,9:00 - 20:00,2,False
247,fpassion6u,Chinese,Cheap,Rosebank,9:00 - 20:00,3,True
248,paudry6v,Thai,Expensive,Bedford-Stuyvesant,9:00 - 20:00,2,False
249,pmatevosian6w,Korean,Expensive,Park Slope,9:00 - 20:00,4,True
250,ccurragh6x,Mexican,Medium,Kingsbridge,9:00 - 20:00,1,True
251,mgreguol6y,Italian,Cheap,Jamaica,9:00 - 20:00,3,False
252,dkearney6z,Italian,Cheap,Rego Park,9:00 - 20:00,4,True
253,cbonnet70,Chinese,Medium,Tribeca,9:00 - 20:00,5,True
254,kmuspratt71,Chinese,Cheap,Sunnyside,9:00 - 20:00,5,False
255,amcilvenna72,Burger,Medium,Riverdale,9:00 - 20:00,4,False
256,lconradsen73,Thai,Medium,Brooklyn Heights,9:00 - 20:00,5,False
257,bwild74,Japanese,Cheap,Midtown,9:00 - 20:00,1,False
258,aclemes75,Pizza,Expensive,Tottenville,9:00 - 20:00,2,True
259,cdebullion76,Pizza,Medium,Long Island City,9:00 - 20:00,3,False
260,treeder77,Mexican,Cheap,Jamaica,9:00 - 20:00,2,True
261,rketcher78,Japanese,Expensive,Tompkinsville,9:00 - 20:00,4,True
262,ewyllie79,Burger,Cheap,Midtown,9:00 - 20:00,2,True
263,hkayley7a,Pizza,Expensive,Washington Heights,9:00 - 20:00,3,True
264,nhewlings7b,Fast Food,Medium,Astoria,9:00 - 20:00,3,False
265,pdolley7c,Indian,Cheap,Morris Park,9:00 - 20:00,5,True
266,shorsley7d,Pizza,Expensive,Soundview,9:00 - 20:00,4,False
267,ttumasian7e,Thai,Cheap,Greenwich Village,9:00 - 20:00,4,False
268,bsingyard7f,Italian,Cheap,Greenwich Village,9:00 - 20:00,3,False
269,dlochead7g,Fast Food,Expensive,Jamaica,9:00 - 20:00,2,False
270,cgeddis7h,Indian,Cheap,Brooklyn Heights,9:00 - 20:00,5,False
271,tdavidzon7i,Italian,Expensive,Kingsbridge,9:00 - 20:00,1,False
272,areiners7j,Burger,Medium,Midtown,9:00 - 20:00,1,True
273,lmanis7k,Italian,Medium,Rego Park,9:00 - 20:00,4,False
274,corrobin7l,Chinese,Expensive,Harlem,9:00 - 20:00,5,True
275,tthornally7m,Fast Food,Cheap,Forest Hills,9:00 - 20:00,3,False
276,asigne7n,Pizza,Cheap,Upper West Side,9:00 - 20:00,4,True
277,akainz7o,Pizza,Cheap,Stapleton,9:00 - 20:00,3,False
278,mdriuzzi7p,French,Expensive,Mott Haven,9:00 - 20:00,5,False
279,tcasement7q,Fast Food,Medium,Crown Heights,9:00 - 20:00,5,True
280,kmaidment7r,Burger,Medium,Midtown,9:00 - 20:00,3,True
281,tvalente7s,Korean,Cheap,Washington Heights,9:00 - 20:00,1,False
282,jdelion7t,French,Medium,Greenwich Village,9:00 - 20:00,3,False
283,mlaughlin7u,French,Medium,Kingsbridge,9:00 - 20:00,2,True
284,esperring7v,Thai,Cheap,Midtown,9:00 - 20:00,1,True
285,djurasz7w,American,Medium,Long Island City,9:00 - 20:00,1,True
286,jjukubczak7x,Thai,Expensive,Greenwich Village,9:00 - 20:00,4,False
287,mamberg7y,Pizza,Cheap,Sunnyside,9:00 - 20:00,4,True
288,ppetras7z,Italian,Expensive,SoHo,9:00 - 20:00,1,False
289,biorizzi80,Indian,Expensive,Pelham Bay,9:00 - 20:00,4,True
290,wcherrett81,Korean,Expensive,Stapleton,9:00 - 20:00,4,False
291,halves82,Pizza,Expensive,Grasmere,9:00 - 20:00,1,False
292,bedgeson83,Japanese,Expensive,Rosebank,9:00 - 20:00,3,False
293,wsymmons84,Thai,Medium,Hunts Point,9:00 - 20:00,4,False
294,hmougenel85,Thai,Medium,Upper West Side,9:00 - 20:00,5,False
295,ucartledge86,Japanese,Cheap,Riverdale,9:00 - 20:00,5,False
296,scoat87,Chinese,Medium,Crown Heights,9:00 - 20:00,1,True
297,gdogg88,Fast Food,Medium,Belmont,9:00 - 20:00,5,False
298,wrodman89,Thai,Cheap,Annadale,9:00 - 20:00,2,False
299,lbeacock8a,American,Expensive,Pelham Bay,9:00 - 20:00,4,False
300,hkorneichik8b,Japanese,Cheap,Harlem,9:00 - 20:00,4,False
301,rramage8c,Mexican,Cheap,Greenwich Village,9:00 - 20:00,1,False
302,cbilverstone8d,Chinese,Medium,SoHo,9:00 - 20:00,3,True
303,slaherty8e,Mexican,Cheap,Soundview,9:00 - 20:00,5,True
304,spulbrook8f,American,Expensive,Chelsea,9:00 - 20:00,5,True
305,radanet8g,Pizza,Medium,Astoria,9:00 - 20:00,1,True
306,fholttom8h,French,Cheap,Park Slope,9:00 - 20:00,5,True
307,jgwynn8i,Burger,Medium,Astoria,9:00 - 20:00,5,False
308,fmycock8j,Fast Food,Cheap,Crown Heights,9:00 - 20:00,1,True
309,dderill8k,French,Expensive,Belmont,9:00 - 20:00,2,False
310,rdehn8l,Indian,Medium,Throgs Neck,9:00 - 20:00,1,True
311,jbeange8m,Japanese,Medium,Woodside,9:00 - 20:00,3,False
312,dgascar8n,French,Cheap,Harlem,9:00 - 20:00,4,False
313,asearby8o,Chinese,Expensive,Soundview,9:00 - 20:00,1,True
314,vstapford8p,Korean,Cheap,Tribeca,9:00 - 20:00,4,False
315,lmesant8q,Korean,Expensive,Park Slope,9:00 - 20:00,4,True
316,vmarrian8r,Mexican,Cheap,Prospect Heights,9:00 - 20:00,2,False
317,nparchment8s,Italian,Medium,Annadale,9:00 - 20:00,2,False
318,rtolomio8t,Japanese,Cheap,Jamaica,9:00 - 20:00,3,True
319,vhillburn8u,American,Expensive,Greenwich Village,9:00 - 20:00,2,False
320,rkobus8v,Fast Food,Medium,Chelsea,9:00 - 20:00,5,True
321,dassad8w,American,Cheap,Morris Park,9:00 - 20:00,1,False
322,atobin8x,Burger,Cheap,Woodside,9:00 - 20:00,4,False
323,epolotti8y,Indian,Expensive,Westerleigh,9:00 - 20:00,2,False
324,eellesworth8z,Indian,Medium,Great Kills,9:00 - 20:00,3,False
325,mwarkup90,Mexican,Medium,DUMBO,9:00 - 20:00,1,True
326,cboden91,Pizza,Expensive,Forest Hills,9:00 - 20:00,4,False
327,gbradnock92,Thai,Cheap,Soundview,9:00 - 20:00,1,False
328,jvauter93,Thai,Cheap,Long Island City,9:00 - 20:00,5,False
329,gcawsy94,Korean,Cheap,SoHo,9:00 - 20:00,3,True
330,cduggan95,French,Medium,Midtown,9:00 - 20:00,4,True
331,awalling96,Thai,Medium,Mott Haven,9:00 - 20:00,3,False
332,orittelmeyer97,Thai,Expensive,Woodside,9:00 - 20:00,1,True
333,tcrosi98,Pizza,Medium,Greenpoint,9:00 - 20:00,2,False
334,civashechkin99,Pizza,Cheap,Jamaica,9:00 - 20:00,1,True
